Project,Language,Identifier Type,Identifier Name,Length,MC
synthetic-bad,Java,function,aoaasa4i,8,0.75
synthetic-bad,C#,variable,tLdELKyO,8,0.85
synthetic-bad,Python,class,dMCitaCxc,9,1
synthetic-bad,Java,function,MBZFoUSB,8,0.85
synthetic-bad,C#,variable,AeSTUMp,7,0.85
synthetic-bad,JavaScript,function,WuRIeMfFa,9,0.85
synthetic-bad,JavaScript,function,kGoHACsA,8,0.85
synthetic-bad,Python,variable,ooea435o,8,0.75
synthetic-bad,Java,class,aa33040,7,0.8
synthetic-bad,C#,variable,kjrOsExRaNy,11,1
synthetic-bad,JavaScript,function,JavZenEI,8,0.85
synthetic-bad,JavaScript,variable,ANYPENknkIsGOX,14,1
synthetic-bad,Java,function,sRIOOKGSBa,10,0.65
synthetic-bad,Java,function,ie333os,7,0.75
synthetic-bad,C#,variable,rHSmAmjar,9,0.85
synthetic-bad,Java,variable,bctoUDpl,8,0.85
synthetic-bad,C#,class,so1iisai,8,0.9
synthetic-bad,Java,variable,eeos05s,7,0.9
synthetic-bad,Java,function,DutSasOnjY,10,0.85
synthetic-bad,Python,variable,QUsDrNid,8,1
synthetic-bad,Java,function,HLsILLiLtuA,11,0.85
synthetic-bad,C#,variable,MaILcJoYsnazuA,14,0.85
synthetic-bad,Java,function,wDIDNEU,7,0.85
synthetic-bad,JavaScript,class,OOECGoMIRKF,11,0.9
synthetic-bad,Python,class,LnEtpjiTQG,10,1
synthetic-bad,C#,function,bLEbMIjrsA,10,0.85
synthetic-bad,Java,function,kSAKNAIcsPV,11,0.85
synthetic-bad,Python,variable,HYIRtNNEeLL,11,0.65
synthetic-bad,JavaScript,function,zEyeamYjv,9,0.85
synthetic-bad,C#,variable,KKmdedOdPD,10,1
synthetic-bad,Python,function,JMenPTaRitzkEC,14,0.85
synthetic-bad,JavaScript,class,isi40ee,7,0.9
synthetic-bad,C#,class,MAnjoCSOM,9,1
synthetic-bad,C#,function,pOXRCTiLriF,11,0.85
synthetic-bad,Java,class,ZkyaUnCePCJJ,12,0.9
synthetic-bad,Python,function,GyaTFiArL,9,0.85
synthetic-bad,C#,function,sqOUcry,7,0.85
synthetic-bad,Python,function,qTHASMDeBs,10,1
synthetic-bad,JavaScript,function,eLsheQlmlEoPj,13,0.85
synthetic-bad,Java,function,pUNHOLyIKsp,11,0.85
synthetic-bad,Java,variable,apciexdO,8,0.75
synthetic-bad,Java,class,i43145i,7,0.9
synthetic-bad,Python,variable,lZeETVeNDL,10,1
synthetic-bad,Python,class,EFevSMmAEtoJ,12,1
synthetic-bad,Python,function,GGmeEBoAFcu,11,0.85
synthetic-bad,Java,class,kqaWaMs,7,1
synthetic-bad,Python,class,si41asi,7,1
synthetic-bad,Java,class,NDJVISIiQf,10,1
synthetic-bad,JavaScript,class,eoiei3s,7,1
synthetic-bad,C#,function,vncVuRePIaa,11,0.75
synthetic-bad,C#,function,GrirAcJLelongkuo,16,0.75
synthetic-bad,Java,function,NTxXuOH,7,0.85
synthetic-bad,Python,variable,NNYdOpwO,8,0.75
synthetic-bad,JavaScript,class,gSOpNESUQqm,11,1
synthetic-bad,Python,class,KycceElTs,9,0.9
synthetic-bad,Python,class,UJeyOtEtL,9,1
synthetic-bad,JavaScript,function,CTcruipeLw,10,0.75
synthetic-bad,JavaScript,function,kUxCsWIS,8,0.85
synthetic-bad,C#,variable,QMweDECtV,9,1
synthetic-bad,C#,function,YGCUIPRaumW,11,0.85
synthetic-bad,JavaScript,function,WuIePMt,7,0.85
synthetic-bad,Python,class,qnIVehCe,8,1
synthetic-bad,Python,function,os155es,7,0.75
synthetic-bad,JavaScript,class,NasAiRCkZ,9,1
synthetic-bad,Python,class,kuptgDe,7,1
synthetic-bad,Java,class,rLRDIGEciF,10,1
synthetic-bad,Java,variable,e544ieee,8,0.65
synthetic-bad,C#,variable,i14iieao,8,0.75
synthetic-bad,JavaScript,class,MdEsyguUEdn,11,1
synthetic-bad,C#,class,i450osoa,8,1
synthetic-bad,Python,class,aa0135e,7,0.9
synthetic-bad,JavaScript,function,JhIeRCEPTecMuO,14,0.85
synthetic-bad,Python,function,RuDolOotI,9,1
synthetic-bad,C#,class,eEkaCyaathHa,12,0.9
synthetic-bad,Java,class,BtnAfcOMpuF,11,1
synthetic-bad,Java,class,PyHansFiUwlO,12,1
synthetic-bad,Java,variable,CyPRoWmyiKZJ,12,0.85
synthetic-bad,Python,variable,AnusAkU,7,1
synthetic-bad,JavaScript,class,iaee55ie,8,0.8
synthetic-bad,Java,variable,a14010o,7,0.85
synthetic-bad,Java,variable,oapCGEKo,8,0.85
synthetic-bad,JavaScript,function,WegqNfeVeXE,11,0.85
synthetic-bad,Python,function,cECyDAOC,8,0.85
synthetic-bad,C#,function,e04303o,7,0.85
synthetic-bad,JavaScript,variable,luudiBK,7,0.75
synthetic-bad,Python,function,eapuGvR,7,0.85
synthetic-bad,C#,function,iesoei3s,8,0.85
synthetic-bad,C#,class,o05ieai,7,1
synthetic-bad,Java,class,OJAewcoIEelpS,13,1
synthetic-bad,JavaScript,function,IIANZdfAfxOr,12,0.75
synthetic-bad,C#,function,so003is,7,0.75
synthetic-bad,JavaScript,variable,o1easisa,8,0.85
synthetic-bad,Java,variable,oaeo54ss,8,0.75
synthetic-bad,Java,class,hIvwNDE,7,1
synthetic-bad,Java,function,es540iio,8,0.75
synthetic-bad,Python,class,MLaAgPRovMIvclI,15,0.9
synthetic-bad,C#,variable,RVcnoRIbff,10,0.8
synthetic-bad,JavaScript,function,ooa40as,7,0.75
synthetic-bad,JavaScript,function,NIaCPufG,8,0.85
synthetic-bad,C#,class,s110ieso,8,0.9
synthetic-bad,Java,function,PsiiOgsH,8,0.75
synthetic-bad,JavaScript,variable,PbtLOPSsoWoytQ,14,0.85
synthetic-bad,C#,function,dWbGObliDc,10,0.85
synthetic-bad,Python,function,MFOIyYe,7,0.85
synthetic-bad,Java,function,ie3551e,7,0.75
synthetic-bad,JavaScript,class,EELYiXckeR,10,0.9
synthetic-bad,Python,variable,dgoAYff,7,0.9
synthetic-bad,Java,function,esii11i,7,0.65
synthetic-bad,Java,class,VHhAcozv,8,1
synthetic-bad,Python,variable,OpsEHot,7,0.85
synthetic-bad,Java,function,o35isas,7,0.85
synthetic-bad,Python,class,ZoRmHwUtbAC,11,1
synthetic-bad,JavaScript,function,DQpDiav,7,1
synthetic-bad,C#,variable,oos11oo,7,0.7
synthetic-bad,Java,variable,esssdEU,7,0.9
synthetic-bad,JavaScript,function,JijogsZ,7,0.85
synthetic-bad,Python,function,JNZbaENiORymL,13,0.85
synthetic-bad,C#,variable,tevfascTaSKMEWSS,16,0.55
synthetic-bad,Java,function,ess531as,8,0.75
synthetic-bad,JavaScript,variable,esao41a,7,0.85
synthetic-bad,Python,class,ZmgOybE,7,1
synthetic-bad,Java,class,lSTCoIE,7,1
synthetic-bad,Python,class,MHIEEBo,7,0.9
synthetic-bad,Java,class,nNPobmaE,8,1
synthetic-bad,JavaScript,function,TSfAOyNmB,9,0.85
synthetic-bad,Python,class,qSIdomgm,8,1
synthetic-bad,JavaScript,variable,KPwUpus,7,1
synthetic-bad,Python,class,UoyahFm,7,1
synthetic-bad,C#,class,KUnMxGeunp,10,1
synthetic-bad,Java,class,QPuppNUmGEUpj,13,0.9
synthetic-bad,Java,variable,XENCHMadeE,10,0.85
synthetic-bad,Python,variable,njiEYSsIW,9,0.85
synthetic-bad,JavaScript,class,KKDilEaEX,9,0.9
synthetic-bad,C#,class,aase403a,8,0.9
synthetic-bad,C#,variable,o3oseoao,8,0.85
synthetic-bad,JavaScript,variable,sai505a,7,0.85
synthetic-bad,Java,class,jWcHEOix,8,1
synthetic-bad,Python,variable,youAtZRU,8,0.85
synthetic-bad,JavaScript,variable,zirehBVp,8,0.85
synthetic-bad,C#,function,lCQofIg,7,0.85
synthetic-bad,Python,function,fZMEEova,8,0.85
synthetic-bad,C#,variable,meNGiQIrh,9,0.85
synthetic-bad,JavaScript,function,mUKdrowsB,9,1
synthetic-bad,Python,function,wlrehiaFgzEeEmEh,16,0.75
synthetic-bad,Java,function,oLIiill,7,0.75
synthetic-bad,Java,class,NlPaIMGnZ,9,1
synthetic-bad,Java,variable,IHiMoNWN,8,0.85
synthetic-bad,Python,variable,MTINAfaWZaYK,12,0.85
synthetic-bad,Java,function,ie011501,8,0.75
synthetic-bad,Python,function,oUhfSiL,7,0.85
synthetic-bad,Java,function,svjofEcOh,9,0.85
synthetic-bad,Python,function,yCcuIOpUPaol,12,0.85
synthetic-bad,Java,variable,TOnHGsI,7,1
synthetic-bad,JavaScript,variable,JbIReqToH,9,0.85
synthetic-bad,JavaScript,variable,s403ois,7,0.85
synthetic-bad,JavaScript,function,cKApkarSKIaiDK,14,0.85
synthetic-bad,C#,variable,AlHIfHU,7,0.85
synthetic-bad,Java,function,eaa5303i,8,0.75
synthetic-bad,C#,class,o53543i,7,1
synthetic-bad,C#,function,oaass04e,8,0.75
synthetic-bad,JavaScript,class,GtIgrAeCd,9,1
synthetic-bad,JavaScript,function,uEqjWParyRa,11,0.85
synthetic-bad,Java,function,see00is,7,0.8
synthetic-bad,JavaScript,variable,mzcfOUs,7,1
synthetic-bad,Python,class,ooziCkyB,8,0.9
synthetic-bad,Python,class,tEdoEusH,8,1
synthetic-bad,C#,class,rQPEeOPGLaU,11,1
synthetic-bad,Python,class,e305sea,7,1
synthetic-bad,Java,variable,wRgaUUfFsLUGz,13,0.85
synthetic-bad,JavaScript,variable,eIVITzu,7,0.85
synthetic-bad,Python,class,ENsMUNm,7,1
synthetic-bad,Python,class,nLakDkRE,8,1
synthetic-bad,JavaScript,class,eeoea43s,8,0.9
synthetic-bad,Python,function,hfABfiBilVw,11,1
synthetic-bad,C#,class,uZCAnhR,7,1
synthetic-bad,JavaScript,function,HOEoRUfO,8,0.85
synthetic-bad,JavaScript,function,bYFBasjenu,10,0.75
synthetic-bad,Java,variable,aOZaRlBM,8,0.85
synthetic-bad,Java,class,DaVPOvuC,8,1
synthetic-bad,Java,variable,xuLoSKmaYI,10,0.85
synthetic-bad,Java,variable,CWmuhNfULSFJ,12,1
synthetic-bad,JavaScript,function,a30014i,7,0.75
synthetic-bad,C#,class,TWftOBYAVIlobOCe,16,1
synthetic-bad,Python,variable,GVIaHOmpk,9,1
synthetic-bad,JavaScript,class,KCeXMOTw,8,1
synthetic-bad,C#,function,i5010os,7,0.85
synthetic-bad,JavaScript,class,roGELMipZB,10,1
synthetic-bad,JavaScript,function,VeteDniNy,9,0.85
synthetic-bad,C#,function,so0aoesi,8,0.85
synthetic-bad,C#,function,COGiGChtIDRiNcX,15,0.85
synthetic-bad,Java,class,mqNROtDBeRKLvaI,15,1
synthetic-bad,C#,class,ase331ai,8,0.9
synthetic-bad,Python,class,BBlOodGe,8,1
synthetic-bad,Java,function,LquQOnFrI,9,0.85
synthetic-bad,Python,class,iDdoMLiAyIrojGvs,16,1
synthetic-bad,C#,function,aoas55a,7,0.75
synthetic-bad,Java,variable,seais05a,8,0.85
synthetic-bad,Java,function,PiECriobG,9,0.85
synthetic-bad,Python,class,bLizEQqB,8,1
synthetic-bad,Python,variable,oRTlOro,7,0.85
synthetic-bad,C#,variable,YtAUbkV,7,0.85
synthetic-bad,Java,function,FTshUavzhce,11,0.75
synthetic-bad,Python,function,nqFETSCouIIOvn,14,0.75
synthetic-bad,Python,variable,pKNEgsUesmtjAK,14,0.85
synthetic-bad,JavaScript,function,jMeFubQ,7,0.85
synthetic-bad,Python,class,IiATEpRSC,9,1
synthetic-bad,C#,variable,tlSOAVPoGADvV,13,0.85
synthetic-bad,JavaScript,variable,sa1seee,7,0.75
synthetic-bad,Python,variable,RuVmBba,7,0.85
synthetic-bad,Python,function,SeQDEnaOfE,10,0.85
synthetic-bad,Python,class,os53aaa,7,0.9
synthetic-bad,C#,class,i03005e,7,0.9
synthetic-bad,JavaScript,variable,YMEFODDutiUQz,13,0.85
synthetic-bad,Python,class,o0asoaa,7,0.9
synthetic-bad,JavaScript,function,YGIgiEIaV,9,0.85
synthetic-bad,JavaScript,function,PeOhareFNOkNjx,14,1
synthetic-bad,Java,function,mCegPax,7,1
synthetic-bad,Java,variable,gzpJieRgOHI,11,1
synthetic-bad,Java,variable,MTyALfcUlVIIW,13,0.75
synthetic-bad,JavaScript,variable,SQoyUNI,7,1
synthetic-bad,C#,function,sHoVuRrIXcoaUQ,14,0.85
synthetic-bad,Java,function,MXWFaFANT,9,0.85
synthetic-bad,C#,class,e3434ea,7,1
synthetic-bad,Python,class,xEIoEpW,7,1
synthetic-bad,C#,class,PAWAAOhQ,8,0.9
synthetic-bad,Java,class,MRaAwOyO,8,1
synthetic-bad,C#,variable,XnarpBugmDC,11,1
synthetic-bad,Python,class,gEZBeoC,7,1
synthetic-bad,JavaScript,function,mqIPHoys,8,1
synthetic-bad,Java,class,eaa55ee,7,0.7
synthetic-bad,C#,class,uVCCHElh,8,0.9
synthetic-bad,JavaScript,class,GmMUmAaVwIlTPI,14,1
synthetic-bad,Java,variable,AkCeAEIdoUa,11,0.85
synthetic-bad,JavaScript,function,o100430a,8,0.75
synthetic-bad,JavaScript,class,mibBoNgOVoj,11,1
synthetic-bad,Python,variable,fKOJATlLPakE,12,0.85
synthetic-bad,JavaScript,class,sai14aa,7,0.9
synthetic-bad,Python,class,FazdiQrTeSKemYPC,16,1
synthetic-bad,JavaScript,variable,dOnexUTLhIHV,12,0.85
synthetic-bad,JavaScript,function,bBagWLiFYtueMTE,15,0.85
synthetic-bad,C#,class,se514ia,7,1
synthetic-bad,Python,function,cFdLOcoLgN,10,0.85
synthetic-bad,Java,function,oe5soise,8,0.85
synthetic-bad,C#,class,dCaudOOWn,9,0.9
synthetic-bad,Python,class,LAMhaZIqQuIDOnA,15,1
synthetic-bad,Java,variable,HluNuRC,7,1
synthetic-bad,C#,variable,qqCtAxeG,8,0.75
synthetic-bad,Java,class,ebPDnOUGL,9,1
synthetic-bad,Python,function,esa040se,8,0.85
synthetic-bad,Python,class,tEnZEvOkgoT,11,1
synthetic-bad,Python,variable,e3044oai,8,0.75
synthetic-bad,C#,function,uUnEScWOORPzb,13,0.75
synthetic-bad,C#,function,dOvzHAr,7,0.85
synthetic-bad,Python,class,xlPleDoUga,10,1
synthetic-bad,C#,variable,oo150oss,8,0.65
synthetic-bad,Python,variable,PDOIdngfEqMaf,13,0.85
synthetic-bad,Java,class,saoi05i,7,1
synthetic-bad,C#,class,cGbbuSgtE,9,0.9
synthetic-bad,Python,variable,HYPhuCKmogh,11,1
synthetic-bad,Python,variable,ie450001,8,0.75
synthetic-bad,C#,function,NOfMFus,7,0.85
synthetic-bad,JavaScript,class,iusmqMumSC,10,1
synthetic-bad,JavaScript,variable,ReBAALy,7,0.75
synthetic-bad,C#,variable,QNoCtUXuPk,10,1
synthetic-bad,Java,class,aisi15ea,8,1
synthetic-bad,C#,class,tFaieXZ,7,1
synthetic-bad,Java,class,PobckPAnij,10,1
synthetic-bad,C#,function,KjESUbQZI,9,0.85
synthetic-bad,JavaScript,variable,a11010ia,8,0.75
synthetic-bad,JavaScript,variable,sa3saeo,7,0.85
synthetic-bad,C#,variable,QtUmeSUzXA,10,0.85
synthetic-bad,JavaScript,class,vzhVoIe,7,1
synthetic-bad,Java,variable,NTFaioqOMMu,11,0.85
synthetic-bad,Python,class,SUhNsjOYnmb,11,1
synthetic-bad,C#,function,es5145oi,8,0.85
synthetic-bad,Python,variable,o145aisi,8,0.85
synthetic-bad,JavaScript,variable,EaEnmVJ,7,1
synthetic-bad,Java,variable,tobYAOleWL,10,1
synthetic-bad,C#,class,emIDzPerd,9,1
synthetic-bad,Python,class,oECajVm,7,1
synthetic-bad,JavaScript,function,oHIpbmitRYkO,12,0.85
synthetic-bad,JavaScript,function,lxQNOcE,7,0.85
synthetic-bad,Python,function,sRIonVHIk,9,0.85
synthetic-bad,Java,variable,oe040oea,8,0.85
synthetic-bad,C#,class,sfOFVVepat,10,1
synthetic-bad,Python,class,odROBSzue,9,1
synthetic-bad,JavaScript,class,NAMjeJb,7,1
synthetic-bad,Python,class,sose1so,7,1
synthetic-bad,Python,variable,i313sii,7,0.75
synthetic-bad,JavaScript,function,cIlciGZLEJbUiNAF,16,0.85
synthetic-bad,C#,variable,MpRABfeRfTinVfF,15,0.85
synthetic-bad,Python,class,hiIIXNELUJY,11,0.8
synthetic-bad,JavaScript,function,qihoYdQ,7,0.85
synthetic-bad,C#,class,GGCEucKM,8,0.9
synthetic-bad,JavaScript,function,tizwclETBit,11,0.85
synthetic-bad,Java,function,eWAVQHK,7,0.85
synthetic-bad,C#,variable,TLaoBSsTU,9,1
synthetic-bad,C#,function,ssass1a,7,0.75
synthetic-bad,Java,function,iLbaIriJ,8,0.85
synthetic-bad,Java,variable,ia001eos,8,0.75
synthetic-bad,Python,function,SNUfuHa,7,0.85
synthetic-bad,Java,variable,as3eaaae,8,0.75
synthetic-bad,JavaScript,class,mVwEypI,7,1
synthetic-bad,JavaScript,variable,o0oioas,7,0.85
synthetic-bad,Python,function,HKlMUeQqt,9,0.85
synthetic-bad,C#,function,VaMcusiwSX,10,0.85
synthetic-bad,C#,class,TyAKhZu,7,1
synthetic-bad,JavaScript,class,i3101es,7,1
synthetic-bad,Python,function,SbtFubO,7,0.85
synthetic-bad,Java,function,QtMieglZ,8,0.85
synthetic-bad,C#,class,aDBIDdC,7,1
synthetic-bad,Java,function,oDSOrkNuDcoBnB,14,0.85
synthetic-bad,JavaScript,variable,eo10413i,8,0.85
