code,readability_level
"def create_cookie(name: str, value: str, **kwargs: Any) -> Cookie:
    """"""Make a cookie from underspecified parameters.

    By default, the pair of `name` and `value` will be set for the domain ''
    and sent on every request (this is sometimes called a ""supercookie"").
    """"""
    result: dict[str, Any] = {
        ""version"": 0,
        ""name"": name,
        ""value"": value,
        ""port"": None,
        ""domain"": """",
        ""path"": ""/"",
        ""secure"": False,
        ""expires"": None,
        ""discard"": True,
        ""comment"": None,
        ""comment_url"": None,
        ""rest"": {""HttpOnly"": None},
        ""rfc2109"": False,
    }

    badargs = set(kwargs) - set(result)
    if badargs:
        raise TypeError(
            f""create_cookie() got unexpected keyword arguments: {list(badargs)}""
        )

    result.update(kwargs)
    result[""port_specified""] = bool(result[""port""])
    result[""domain_specified""] = bool(result[""domain""])
    result[""domain_initial_dot""] = result[""domain""].startswith(""."")
    result[""path_specified""] = bool(result[""path""])

    return cookielib.Cookie(**result)",High
"def morsel_to_cookie(morsel: Morsel[Any]) -> Cookie:
    """"""Convert a Morsel object into a Cookie containing the one k/v pair.""""""

    expires: int | None = None
    if morsel[""max-age""]:
        try:
            expires = int(time.time() + int(morsel[""max-age""]))
        except ValueError:
            raise TypeError(f""max-age: {morsel['max-age']} must be integer"")
    elif morsel[""expires""]:
        time_template = ""%a, %d-%b-%Y %H:%M:%S GMT""
        expires = calendar.timegm(time.strptime(morsel[""expires""], time_template))
    return create_cookie(
        comment=morsel[""comment""],
        comment_url=bool(morsel[""comment""]),
        discard=False,
        domain=morsel[""domain""],
        expires=expires,
        name=morsel.key,
        path=morsel[""path""],
        port=None,
        rest={""HttpOnly"": morsel[""httponly""]},
        rfc2109=False,
        secure=bool(morsel[""secure""]),
        value=morsel.value,
        version=morsel[""version""] or 0,
    )


_CookieJarT = TypeVar(""_CookieJarT"", bound=CookieJar)


@overload",Medium
"def cookiejar_from_dict(
    cookie_dict: dict[str, str] | None,
    cookiejar: None = None,
    overwrite: bool = True,
) -> RequestsCookieJar: ...


@overload",High
"def cookiejar_from_dict(
    cookie_dict: dict[str, str] | None,
    cookiejar: _CookieJarT,
    overwrite: bool = True,
) -> _CookieJarT: ...",High
"def cookiejar_from_dict(
    cookie_dict: dict[str, str] | None,
    cookiejar: CookieJar | None = None,
    overwrite: bool = True,
) -> CookieJar:
    """"""Returns a CookieJar from a key/value dictionary.

    :param cookie_dict: Dict of key/values to insert into CookieJar.
    :param cookiejar: (optional) A cookiejar to add the cookies to.
    :param overwrite: (optional) If False, will not replace cookies
        already in the jar with new ones.
    :rtype: CookieJar
    """"""
    if cookiejar is None:
        cookiejar = RequestsCookieJar()

    if cookie_dict is not None:
        names_from_jar = [cookie.name for cookie in cookiejar]
        for name in cookie_dict:
            if overwrite or (name not in names_from_jar):
                cookiejar.set_cookie(create_cookie(name, cookie_dict[name]))

    return cookiejar",High
"def merge_cookies(
    cookiejar: CookieJar, cookies: dict[str, str] | CookieJar | None
) -> CookieJar:
    """"""Add cookies to cookiejar and returns a merged CookieJar.

    :param cookiejar: CookieJar object to add the cookies to.
    :param cookies: Dictionary or CookieJar object to be added.
    :rtype: CookieJar
    """"""
    if not isinstance(cookiejar, cookielib.CookieJar):  # type: ignore[reportUnnecessaryIsInstance]  # runtime guard
        raise ValueError(""You can only merge into CookieJar"")

    if isinstance(cookies, dict):
        cookiejar = cookiejar_from_dict(cookies, cookiejar=cookiejar, overwrite=False)
    elif isinstance(cookies, cookielib.CookieJar):
        if update_method := getattr(cookiejar, ""update"", None):
            update_method(cookies)
        else:
            for cookie_in_jar in cookies:
                cookiejar.set_cookie(cookie_in_jar)

    return cookiejar",High
"class RequestException(IOError):
    """"""There was an ambiguous exception that occurred while handling your
    request.
    """"""

    response: Response | None
    request: Request | PreparedRequest | None

    def __init__(self, *args: Any, **kwargs: Any) -> None:
        """"""Initialize RequestException with `request` and `response` objects.""""""
        response: Response | None = kwargs.pop(""response"", None)
        self.response = response
        self.request = kwargs.pop(""request"", None)
        if response is not None and not self.request and hasattr(response, ""request""):
            self.request = response.request
        super().__init__(*args, **kwargs)",High
"class JSONDecodeError(InvalidJSONError, CompatJSONDecodeError):
    """"""Couldn't decode the text into json""""""

    def __init__(self, *args: Any, **kwargs: Any) -> None:
        """"""
        Construct the JSONDecodeError instance first with all
        args. Then use it's args to construct the IOError so that
        the json specific args aren't used as IOError specific args
        and the error message from JSONDecodeError is preserved.
        """"""
        CompatJSONDecodeError.__init__(self, *args)
        InvalidJSONError.__init__(self, *self.args, **kwargs)

    def __reduce__(self) -> tuple[Any, ...] | str:
        """"""
        The __reduce__ method called when pickling the object must
        be the one from the JSONDecodeError (be it json/simplejson)
        as it expects all the arguments for instantiation, not just
        one like the IOError, and the MRO would by default call the
        __reduce__ method from the IOError due to the inheritance order.
        """"""
        return CompatJSONDecodeError.__reduce__(self)",High
"class Timeout(RequestException):
    """"""The request timed out.

    Catching this error will catch both
    :exc:`~requests.exceptions.ConnectTimeout` and
    :exc:`~requests.exceptions.ReadTimeout` errors.
    """"""",High
"class ConnectTimeout(ConnectionError, Timeout):
    """"""The request timed out while trying to connect to the remote server.

    Requests that produced this error are safe to retry.
    """"""",High
"class ReadTimeout(Timeout):
    """"""The server did not send any data in the allotted amount of time.""""""",Medium
"class URLRequired(RequestException):
    """"""A valid URL is required to make a request.""""""",Medium
"class MissingSchema(RequestException, ValueError):
    """"""The URL scheme (e.g. http or https) is missing.""""""",Medium
"class InvalidSchema(RequestException, ValueError):
    """"""The URL scheme provided is either invalid or unsupported.""""""",High
"class InvalidURL(RequestException, ValueError):
    """"""The URL provided was somehow invalid.""""""",High
"class InvalidHeader(RequestException, ValueError):
    """"""The header value provided was somehow invalid.""""""",High
"class ChunkedEncodingError(RequestException):
    """"""The server declared chunked encoding but sent an invalid chunk.""""""",High
"class ContentDecodingError(RequestException, BaseHTTPError):
    """"""Failed to decode response content.""""""",High
"class StreamConsumedError(RequestException, TypeError):
    """"""The content for this response was already consumed.""""""",High
"class UnrewindableBodyError(RequestException):
    """"""Requests encountered an error when trying to rewind a body.""""""


# Warnings",High
"class FileModeWarning(RequestsWarning, DeprecationWarning):
    """"""A file was opened in text mode, but Requests determined its binary length.""""""",Medium
"class RequestsDependencyWarning(RequestsWarning):
    """"""An imported dependency doesn't match the expected version range.""""""",Medium
"def main():
    """"""Pretty-print the bug information as JSON.""""""
    print(json.dumps(info(), sort_keys=True, indent=2))


if __name__ == ""__main__"":
    main()",High
"def default_hooks() -> dict[str, list[_t.HookType]]:
    return {event: [] for event in HOOKS}


# TODO: response is the only one",High
"def dispatch_hook(
    key: str,
    hooks: _t.HooksInputType | None,
    hook_data: Response,
    **kwargs: Any,
) -> Response:
    """"""Dispatches a hook dictionary on a given piece of data.""""""
    hooks_dict = hooks or {}
    hook_list: Iterable[_t.HookType] | _t.HookType | None = hooks_dict.get(key)
    if hook_list:
        if isinstance(hook_list, Callable):
            hook_list = [hook_list]
        for hook in hook_list:
            _hook_data = hook(hook_data, **kwargs)
            if _hook_data is not None:
                hook_data = _hook_data
    return hook_data",High
"class RequestHooksMixin:
    hooks: dict[str, list[_t.HookType]]

    def register_hook(
        self, event: str, hook: Iterable[_t.HookType] | _t.HookType
    ) -> None:
        """"""Properly register a hook.""""""

        if event not in self.hooks:
            raise ValueError(f'Unsupported event specified, with event name ""{event}""')

        if isinstance(hook, Callable):
            self.hooks[event].append(hook)
        elif hasattr(hook, ""__iter__""):
            self.hooks[event].extend(h for h in hook if isinstance(h, Callable))  # type: ignore[reportUnnecessaryIsInstance]  # defensive runtime filter

    def deregister_hook(self, event: str, hook: _t.HookType) -> bool:
        """"""Deregister a previously registered hook.
        Returns True if the hook existed, False if not.
        """"""

        try:
            self.hooks[event].remove(hook)
            return True
        except ValueError:
            return False",Medium
"def merge_setting(
    request_setting: Any, session_setting: Any, dict_class: type = OrderedDict
) -> Any:
    """"""Determines appropriate setting for a given request, taking into account
    the explicit setting on that request, and the setting in the session. If a
    setting is a dictionary, they will be merged together using `dict_class`
    """"""

    if session_setting is None:
        return request_setting

    if request_setting is None:
        return session_setting

    # Bypass if not a dictionary (e.g. verify)
    if not (
        isinstance(session_setting, Mapping) and isinstance(request_setting, Mapping)
    ):
        return request_setting

    merged_setting = dict_class(to_key_val_list(session_setting))  # type: ignore[arg-type]  # isinstance narrows Any to Mapping[Unknown]
    merged_setting.update(to_key_val_list(request_setting))  # type: ignore[arg-type]

    # Remove keys that are set to None. Extract keys first to avoid altering
    # the dictionary during iteration.
    none_keys = [k for (k, v) in merged_setting.items() if v is None]
    for key in none_keys:
        del merged_setting[key]

    return merged_setting",High
"def merge_hooks(
    request_hooks: _t.HooksType,
    session_hooks: _t.HooksType,
    dict_class: type = OrderedDict,
) -> _t.HooksType:
    """"""Properly merges both requests and session hooks.

    This is necessary because when request_hooks == {'response': []}, the
    merge breaks Session hooks entirely.
    """"""
    if session_hooks is None or session_hooks.get(""response"") == []:
        return request_hooks

    if request_hooks is None or request_hooks.get(""response"") == []:
        return session_hooks

    return merge_setting(request_hooks, session_hooks, dict_class)",High
"def session() -> Session:
    """"""
    Returns a :class:`Session` for context-management.

    .. deprecated:: 1.0.0

        This method has been deprecated since version 1.0.0 and is only kept for
        backwards compatibility. New code should use :class:`~requests.sessions.Session`
        to create a session. This may be removed at a future date.

    :rtype: Session
    """"""
    return Session()",Medium
"def _init():
    for code, titles in _codes.items():
        for title in titles:
            setattr(codes, title, code)
            if not title.startswith((""\\"", ""/"")):
                setattr(codes, title.upper(), code)

    def doc(code: int) -> str:
        names = "", "".join(f""``{n}``"" for n in _codes[code])
        return ""* %d: %s"" % (code, names)

    global __doc__
    __doc__ = (
        __doc__ + ""\n"" + ""\n"".join(doc(code) for code in sorted(_codes))
        if __doc__ is not None
        else None
    )


_init()",Low
"class LookupDict(dict[str, _VT]):
    """"""Dictionary lookup object.""""""

    name: Any

    def __init__(self, name: Any = None) -> None:
        self.name = name
        super().__init__()

    def __repr__(self) -> str:
        return f""<lookup '{self.name}'>""

    def __getattr__(self, key: str) -> _VT | None:
        # We need this for type checkers to infer typing
        # on attribute access with status_codes.py
        if key in self.__dict__:
            return self.__dict__[key]
        else:
            raise AttributeError(
                f""'{type(self).__name__}' object has no attribute '{key}'""
            )

    def __getitem__(self, key: str) -> _VT | None:  # type: ignore[override]
        # We allow fall-through here, so values default to None

        return self.__dict__.get(key, None)

    @overload
    def get(self, key: str, default: None = None) -> _VT | None: ...

    @overload
    def get(self, key: str, default: _D | _VT) -> _D | _VT: ...

    def get(self, key: str, default: _D | None = None) -> _VT | _D | None:
        return self.__dict__.get(key, default)",High
"def dict_to_sequence(
    d: _t.SupportsItems[Any, Any] | Iterable[tuple[Any, Any]],
) -> Iterable[tuple[Any, Any]]:
    """"""Returns an internal sequence dictionary update.""""""

    if isinstance(d, _SupportsItems):
        return d.items()

    return d",Medium
"def guess_filename(obj: Any) -> str | None:
    """"""Tries to guess the filename of the given object.""""""
    name = getattr(obj, ""name"", None)
    if name and isinstance(name, (str, bytes)) and name[0] != ""<"" and name[-1] != "">"":
        return os.path.basename(name)  # type: ignore[return-value]  # urllib3 accepts bytes but types str only",Medium
"def atomic_open(filename: str) -> Generator[BufferedWriter, None, None]:
    """"""Write a file to the disk in an atomic fashion""""""
    tmp_descriptor, tmp_name = tempfile.mkstemp(dir=os.path.dirname(filename))
    try:
        with os.fdopen(tmp_descriptor, ""wb"") as tmp_handler:
            yield tmp_handler
        os.replace(tmp_name, filename)
    except BaseException:
        os.remove(tmp_name)
        raise",High
"def from_key_val_list(
    value: Mapping[Any, Any] | Iterable[tuple[Any, Any]] | None,
) -> dict[Any, Any] | None:
    """"""Take an object and test to see if it can be represented as a
    dictionary. Unless it can not be represented as such, return an
    OrderedDict, e.g.,

    ::

        >>> from_key_val_list([('key', 'val')])
        OrderedDict([('key', 'val')])
        >>> from_key_val_list('string')
        Traceback (most recent call last):
        ...
        ValueError: cannot encode objects that are not 2-tuples
        >>> from_key_val_list({'key': 'val'})
        OrderedDict([('key', 'val')])

    :rtype: OrderedDict
    """"""
    if value is None:
        return None

    if isinstance(value, (str, bytes, bool, int)):
        raise ValueError(""cannot encode objects that are not 2-tuples"")

    return OrderedDict(value)


@overload",High
"def to_key_val_list(
    value: _t.SupportsItems[_KT, _VT] | Iterable[tuple[_KT, _VT]],
) -> list[tuple[_KT, _VT]]: ...",High
"def to_key_val_list(
    value: _t.SupportsItems[_KT, _VT] | Iterable[tuple[_KT, _VT]] | None,
) -> list[tuple[_KT, _VT]] | None:
    """"""Take an object and test to see if it can be represented as a
    dictionary. If it can be, return a list of tuples, e.g.,

    ::

        >>> to_key_val_list([('key', 'val')])
        [('key', 'val')]
        >>> to_key_val_list({'key': 'val'})
        [('key', 'val')]
        >>> to_key_val_list('string')
        Traceback (most recent call last):
        ...
        ValueError: cannot encode objects that are not 2-tuples

    :rtype: list
    """"""
    if value is None:
        return None

    if isinstance(value, (str, bytes, bool, int)):
        raise ValueError(""cannot encode objects that are not 2-tuples"")

    if isinstance(value, _SupportsItems):
        return list(value.items())

    return list(value)


# From mitsuhiko/werkzeug (used with permission).",High
"def parse_list_header(value: str) -> list[str]:
    """"""Parse lists as described by RFC 2068 Section 2.

    In particular, parse comma-separated lists where the elements of
    the list may include quoted-strings.  A quoted-string could
    contain a comma.  A non-quoted string could have quotes in the
    middle.  Quotes are removed automatically after parsing.

    It basically works like :func:`parse_set_header` just that items
    may appear multiple times and case sensitivity is preserved.

    The return value is a standard :class:`list`:

    >>> parse_list_header('token, ""quoted value""')
    ['token', 'quoted value']

    To create a header from the :class:`list` again, use the
    :func:`dump_header` function.

    :param value: a string with a list header.
    :return: :class:`list`
    :rtype: list
    """"""
    result: list[str] = []
    for item in _parse_list_header(value):
        if item[:1] == item[-1:] == '""':
            item = unquote_header_value(item[1:-1])
        result.append(item)
    return result


# From mitsuhiko/werkzeug (used with permission).",Medium
"def parse_dict_header(value: str) -> dict[str, str | None]:
    """"""Parse lists of key, value pairs as described by RFC 2068 Section 2 and
    convert them into a python dict:

    >>> d = parse_dict_header('foo=""is a fish"", bar=""as well""')
    >>> type(d) is dict
    True
    >>> sorted(d.items())
    [('bar', 'as well'), ('foo', 'is a fish')]

    If there is no value for a key it will be `None`:

    >>> parse_dict_header('key_without_value')
    {'key_without_value': None}

    To create a header from the :class:`dict` again, use the
    :func:`dump_header` function.

    :param value: a string with a dict header.
    :return: :class:`dict`
    :rtype: dict
    """"""
    result: dict[str, str | None] = {}
    for item in _parse_list_header(value):
        if ""="" not in item:
            result[item] = None
            continue
        name, value = item.split(""="", 1)
        if value[:1] == value[-1:] == '""':
            value = unquote_header_value(value[1:-1])
        result[name] = value
    return result


# From mitsuhiko/werkzeug (used with permission).",Medium
"def unquote_header_value(value: str, is_filename: bool = False) -> str:
    r""""""Unquotes a header value.  (Reversal of :func:`quote_header_value`).
    This does not use the real unquoting but what browsers are actually
    using for quoting.

    :param value: the header value to unquote.
    :rtype: str
    """"""
    if value and value[0] == value[-1] == '""':
        # this is not the real unquoting, but fixing this so that the
        # RFC is met will result in bugs with internet explorer and
        # probably some other browsers as well.  IE for example is
        # uploading files with ""C:\foo\bar.txt"" as filename
        value = value[1:-1]

        # if this is a filename and the starting characters look like
        # a UNC path, then just return the value without quotes.  Using the
        # replace sequence below on a UNC path has the effect of turning
        # the leading double slash into a single slash and then
        # _fix_ie_filename() doesn't work correctly.  See #458.
        if not is_filename or value[:2] != ""\\\\"":
            return value.replace(""\\\\"", ""\\"").replace('\\""', '""')
    return value",High
"def dict_from_cookiejar(cj: CookieJar) -> dict[str, str | None]:
    """"""Returns a key/value dictionary from a CookieJar.

    :param cj: CookieJar object to extract cookies from.
    :rtype: dict
    """"""

    cookie_dict = {cookie.name: cookie.value for cookie in cj}
    return cookie_dict",Medium
"def add_dict_to_cookiejar(cj: CookieJar, cookie_dict: dict[str, str]) -> CookieJar:
    """"""Returns a CookieJar from a key/value dictionary.

    :param cj: CookieJar to insert cookies into.
    :param cookie_dict: Dict of key/values to insert into CookieJar.
    :rtype: CookieJar
    """"""

    return cookiejar_from_dict(cookie_dict, cj)",Medium
"def get_encodings_from_content(content: str) -> list[str]:
    """"""Returns encodings from given content string.

    :param content: bytestring to extract encodings from.
    """"""
    warnings.warn(
        (
            ""In requests 3.0, get_encodings_from_content will be removed. For ""
            ""more information, please see the discussion on issue #2266. (This""
            "" warning should only appear once.)""
        ),
        DeprecationWarning,
    )

    charset_re = re.compile(r'<meta.*?charset=[""\']*(.+?)[""\'>]', flags=re.I)
    pragma_re = re.compile(r'<meta.*?content=[""\']*;?charset=(.+?)[""\'>]', flags=re.I)
    xml_re = re.compile(r'^<\?xml.*?encoding=[""\']*(.+?)[""\'>]')

    return (
        charset_re.findall(content)
        + pragma_re.findall(content)
        + xml_re.findall(content)
    )",Medium
"def _parse_content_type_header(header: str) -> tuple[str, dict[str, Any]]:
    """"""Returns content type and parameters from given header.

    :param header: string
    :return: tuple containing content type and dictionary of
         parameters.
    """"""

    tokens = header.split("";"")
    content_type, params = tokens[0].strip(), tokens[1:]
    params_dict: dict[str, str | bool] = {}
    strip_chars = ""\""' ""

    for param in params:
        param = param.strip()
        if param and (idx := param.find(""="")) != -1:
            key = param[:idx].strip(strip_chars)
            value = param[idx + 1 :].strip(strip_chars)
            params_dict[key.lower()] = value
    return content_type, params_dict",High
"def get_encoding_from_headers(headers: CaseInsensitiveDict[str]) -> str | None:
    """"""Returns encodings from given HTTP Header Dict.

    :param headers: dictionary to extract encoding from.
    :rtype: str
    """"""

    content_type = headers.get(""content-type"")

    if not content_type:
        return None

    content_type, params = _parse_content_type_header(content_type)

    if ""charset"" in params:
        return params[""charset""].strip(""'\"""")

    if ""text"" in content_type:
        return ""ISO-8859-1""

    if ""application/json"" in content_type:
        # Assume UTF-8 based on RFC 4627: https://www.ietf.org/rfc/rfc4627.txt since the charset was unset
        return ""utf-8""",High
"def stream_decode_response_unicode(
    iterator: Iterable[bytes], r: Response
) -> Generator[str | bytes, None, None]:
    """"""Stream decodes an iterator.""""""

    if r.encoding is None:
        yield from iterator
        return

    decoder = codecs.getincrementaldecoder(r.encoding)(errors=""replace"")
    for chunk in iterator:
        rv = decoder.decode(chunk)
        if rv:
            yield rv
    rv = decoder.decode(b"""", final=True)
    if rv:
        yield rv


@overload",Medium
"def iter_slices(
    string: bytes, slice_length: int | None
) -> Generator[bytes, None, None]: ...
@overload",High
"def iter_slices(
    string: str, slice_length: int | None
) -> Generator[str, None, None]: ...",High
"def iter_slices(
    string: bytes | str, slice_length: int | None
) -> Generator[bytes | str, None, None]:
    """"""Iterate over slices of a string.""""""
    pos = 0
    if slice_length is None or slice_length <= 0:
        slice_length = len(string)
    while pos < len(string):
        yield string[pos : pos + slice_length]
        pos += slice_length",High
"def unquote_unreserved(uri: str) -> str:
    """"""Un-escape any percent-escape sequences in a URI that are unreserved
    characters. This leaves all reserved, illegal and non-ASCII bytes encoded.

    :rtype: str
    """"""
    parts = uri.split(""%"")
    for i in range(1, len(parts)):
        h = parts[i][0:2]
        if len(h) == 2 and h.isalnum():
            try:
                c = chr(int(h, 16))
            except ValueError:
                raise InvalidURL(f""Invalid percent-escape sequence: '{h}'"")

            if c in UNRESERVED_SET:
                parts[i] = c + parts[i][2:]
            else:
                parts[i] = f""%{parts[i]}""
        else:
            parts[i] = f""%{parts[i]}""
    return """".join(parts)",Low
"def requote_uri(uri: str) -> str:
    """"""Re-quote the given URI.

    This function passes the given URI through an unquote/quote cycle to
    ensure that it is fully and consistently quoted.

    :rtype: str
    """"""
    safe_with_percent = ""!#$%&'()*+,/:;=?@[]~""
    safe_without_percent = ""!#$&'()*+,/:;=?@[]~""
    try:
        # Unquote only the unreserved characters
        # Then quote only illegal characters (do not quote reserved,
        # unreserved, or '%')
        return quote(unquote_unreserved(uri), safe=safe_with_percent)
    except InvalidURL:
        # We couldn't unquote the given URI, so let's try quoting it, but
        # there may be unquoted '%'s in the URI. We need to make sure they're
        # properly quoted so they do not cause issues elsewhere.
        return quote(uri, safe=safe_without_percent)",High
