Domain,Term,Type
angular-cli,ng update --force,Verb
angular-cli,ng update --all,Verb
angular-cli,ng update --next,Verb
angular-cli,ng update --prerelease,Verb
angular-cli,ng update --migrate-only,Verb
angular-cli,ng update --dry-run,Verb
angular-cli,ng update --from,Verb
angular-cli,ng update --to,Verb
angular-cli,ng add @angular/material,Verb
angular-cli,ng add @angular/fire,Verb
angular-cli,ng add @ng-bootstrap,Verb
angular-cli,ng add @angular/elements,Verb
angular-cli,ng add @angular/pwa,Verb
angular-cli,ng add @angular/cdk,Verb
angular-cli,ng add @angular/flex-layout,Verb
angular-cli,ng add ngx-bootstrap,Verb
angular-cli,ng add ngx-charts,Verb
angular-cli,ng add @ngrx/store,Verb
angular-cli,ng add @ngrx/effects,Verb
angular-cli,ng add @angular/cli --interactive,Verb
angular-cli,ng add --save-dev,Verb
angular-cli,ng add --module,Verb
angular-cli,ng add --skip-install,Verb
angular-cli,ng deploy --target,Verb
angular-cli,ng deploy --port,Verb
angular-cli,ng deploy --output,Verb
angular-cli,ng deploy --app,Verb
angular-cli,ng deploy --configuration,Verb
angular-cli,ng deploy --provider,Verb
angular-cli,ng deploy --deploy-url,Verb
angular-cli,ng deploy --disable-host-check,Verb
angular-cli,ng deploy --skip-build,Verb
angular-cli,ng build --verbose,Verb
angular-cli,ng serve --verbose,Verb
angular-cli,ng serve --ssl-cert,Verb
angular-cli,ng serve --ssl-key,Verb
angular-cli,ng test --watch,Verb
angular-cli,ng build --watch,Verb
angular-cli,ng build --server,Verb
angular-cli,ng build --service-worker,Verb
angular-cli,ng build --prod --aot,Verb
angular-cli,ng build --prod --stats-json,Verb
angular-cli,ng build --prod --source-map,Verb
angular-cli,ng build --prod --optimization,Verb
angular-cli,ng build --prod --extract-css,Verb
angular-cli,ng build --prod --no-progress,Verb
angular-cli,ng build --prod --base-href,Verb
angular-cli,ng build --prod --output-hashing,Verb
angular-cli,ng build --prod --progress,Verb
angular-cli,ng serve --open-url,Verb
angular-cli,ng serve --host 0.0.0.0,Verb
angular-cli,ng serve --host localhost,Verb
angular-cli,ng serve --port 4200,Verb
angular-cli,ng serve --disable-host-check,Verb
angular-cli,ng serve --environment prod,Verb
angular-cli,ng serve --configuration production,Verb
angular-cli,ng serve --configuration development,Verb
angular-cli,ng serve --proxy-config,Verb
angular-cli,ng serve --watch,Verb
angular-cli,ng serve --watch-all,Verb
angular-cli,ng serve --hmr,Verb
angular-cli,ng serve --disable-host-check,Verb
angular-cli,ng serve --public-host,Verb
angular-cli,ng serve --open,Verb
angular-cli,ng serve --ssl,Verb
angular-cli,ng serve --host 0.0.0.0,Verb
angular-cli,ng serve --disable-host-check,Verb
angular-cli,ng serve --proxy-config,Verb
angular-cli,ng serve --open,Verb
angular-cli,ng serve --host localhost,Verb
angular-cli,ng serve --ssl-cert,Verb
angular-cli,ng serve --ssl-key,Verb
angular-cli,ng serve --disable-host-check,Verb
angular-cli,ng serve --open-url,Verb
angular-cli,ng serve --disable-host-check,Verb
angular-cli,ng serve --ssl,Verb
angular-cli,ng serve --hmr,Verb
angular-cli,ng serve --host localhost,Verb
angular-cli,ng serve --disable-host-check,Verb
angular-cli,ng build --no-progress,Verb
angular-cli,ng build --source-map,Verb
angular-cli,ng build --progress,Verb
angular-cli,ng build --verbose,Verb
angular-cli,ng build --deploy-url,Verb
